Pergunta,Resposta
"Participante vai cancelar a conta e quer continuar com o plano, como alterar a forma de pagamento? Cooperado quer mudar o vencimento do plano. Cooperado quer voltar a pagar por debito em conta. Participante tem muitas despesas na data de vencimeno do plano e quer trocar. A previdencia vai ser paga pelo avó e não mais pelo pai do cooperadinho, como trocar a conta?","A alteração da forma de pagamento pode ser realizada pelos próprios participantes, através do aplicativo. Mas, também é possível executá-la no SOP. Segue abaixo orientações. <br>
• App: Menu Serviços> Dados Cadastrais> Forma de Pagamento> Selecionar a opção desejada.  <br>
• SOP: Manutenção do Plano> Alteração do Plano> Visualizar> Pagamento> Inserir a opção desejada e salvar.   

Salientamos que, caso já tenha sido gerada uma cobrança no mês de solicitação, a alteração entrará em vigência somente no mês subsequente. Para evitar descontos em duplicidade, o SOP possui travas que restringem alterações em certos períodos, indicando a data em que pode ser alterados.  

*Observação:  Estes procedimentos não são válidos para alterações envolvendo Desconto em Folha. Para alterar a forma de pagamento de débito em conta/boleto bancário para desconto em folha, ou vice-versa, é necessário abrir chamado via PRI: Abrir chamado> Selecionar ‘Alterar forma de pagamento - desconto em folha na caixa Tipo do contato’> Preencher dados e enviar.  Se enfrentar dificuldades no processo ou tiver dúvidas, mande sua solicitação via chamado com evidências para análise do nosso time humano!"
"Participante vai cancelar a conta e quer continuar com o plano,
  como alterar a forma de pagamento?
    Cooperado quer mudar o vencimento do plano.
    Cooperado quer voltar a pagar por debito em conta.
    Participante tem muitas despesas na data de vencimeno do plano e quer
  trocar.
    A previdencia vai ser paga pelo avó e não mais pelo pai do cooperadinho,
  como trocar a conta?
    ","A alteração da forma de pagamento pode ser realizada pelos próprios participantes, através do aplicativo. Mas, também é possível executá-la no SOP. Segue abaixo orientações. <br>
• App: Menu Serviços> Dados Cadastrais> Forma de Pagamento> Selecionar a opção desejada.  <br>
• SOP: Manutenção do Plano> Alteração do Plano> Visualizar> Pagamento> Inserir a opção desejada e salvar.   

Salientamos que, caso já tenha sido gerada uma cobrança no mês de solicitação, a alteração entrará em vigência somente no mês subsequente. Para evitar descontos em duplicidade, o SOP possui travas que restringem alterações em certos períodos, indicando a data em que pode ser alterados.  

*Observação:  Estes procedimentos não são válidos para alterações envolvendo Desconto em Folha. Para alterar a forma de pagamento de débito em conta/boleto bancário para desconto em folha, ou vice-versa, é necessário abrir chamado via PRI: Abrir chamado> Selecionar ‘Alterar forma de pagamento - desconto em folha na caixa Tipo do contato’> Preencher dados e enviar. Se enfrentar dificuldades no processo ou tiver dúvidas, mande sua solicitação via chamado com evidências para análise do nosso time humano!"
,Você gostaria de saber mais sobre qual tipo de conta? :point_down:
a conta para debito pode ser conta conjunta  conta conjunta  dois titulares da conta  dois titulares do plano,"Como se trata de conta conjunta, um dos dois pode assinar na parte do responsável financeiro e no verso da proposta deve assinar quem está contratando o plano.<br>
Ressaltamos que deve ser enviado um documento em que ambos são titulares da conta."
conta pj  pode debitar em conta pj  pode resgatar em conta pj  pode resgate em conta juridica  pode ser debitado em conta pj,"Não é permitido debitar as contribuições em conta PJ, o participante deve informar uma conta física para debitar suas contribuições mensais e realizar seus aportes.   O plano também não permite que resgates venham ser pagos em conta PJ, deve ser informado uma conta do próprio titular, podendo ser conta poupança ou corrente."
O participante pode encerrar a conta dele na cooperativa e manter o plano? ,"O participante pode manter o plano mesmo optando por encerrar a conta, ele passa a ser vinculado e mantem o plano através de boleto bancário. 

Porém, sendo vinculado, não será possível consultar o plano via SOP, somente consultando a Quanta através de formulário de e-mail (via PRI)."
O participante pode encerrar a conta dele na cooperativa e manter o plano? ,"O participante pode manter o plano mesmo optando por encerrar a conta, ele passa a ser vinculado e mantem o plano através de boleto bancário. 

Porém, sendo vinculado, não será possível consultar o plano via SOP, somente consultando a Quanta através de formulário de e-mail (via PRI)."
como alterar para desconto em folha  como mudar a forma de pagamento para desconto em folha  desconto em folha  participante quer que seja feito desconto em folha,"O pagamento da primeira contribuição sempre será em débito em conta. Posteriormente, para alterar a forma de pagamento de débito em conta/boleto bancário para desconto em folha, ou vice-versa, é necessário abrir chamado via PRI solicitando a alteração.
• PRI: Abrir chamado> Selecionar ‘Alterar forma de pagamento - desconto em folha na aba Tipo do contato’> Preencher dados e enviar

Ao solicitar a mudança para desconto em folha, é preciso enviar os seguintes dados do colaborador: instituidor, agência, inscrição do plano e instituição onde possui vínculo empregatício. Após recepcionarmos estas informações, prosseguiremos com a solicitação.

Importante! Se o participante desejar realizar um aumento ou nova contratação de risco, a forma de pagamento deverá ser alterada para débito em conta."
"Solicitar boleto
boleto de parcela ",Por favor digite o CPF ou clique no botão abaixo para voltar ao menu.
Aplicativo Quanta  aceso ao portal do cooperado  acessar mobile  acessar o quanta mobile  acessar portal  acesso ao mobile  acesso quanta mobile  cadastro mobile  cadastro quanta mobile  como acesso o mobile  como acesso o portal  como acesso quanta mobile  como fazer um acesso ao mobile  email de 1 acesso  enviar email de primeiro acesso  qual aplicativo daprevidencia  senha do aplicativo nao esta entrando  senha mobile  senha quanta mobile,O que você quer saber sobre o Quanta Mobile?
"Como fazer o primeiro acesso no aplicativo? 
O participante não tem o aplicativo, como fazer o acesso? ","Para ter acesso ao Quanta MOBILE, basta fazer o download nas lojas App Store e Google Play.<br>
Em seguida deve clicar em <u>não tenho cadastro >Inserir os dados necessários > informar o código recebido por SMS > Criar uma senha de 08 dígitos > realizar login.</u>

⚠️ A mesma senha criada para área restrita do participante, permite acesso no APP.

O participante pode acompanhar seu saldo, emitir informe de rendimentos, suspender e ativar o plano, aumentar e diminuir a contribuição, realizar simulações e projeções de saldo, migrar o perfil de investimentos"
"Como o participante faz pra recuperar a senha do app? 
Participante esqueceu a senha do aplicativo, como recuperar?","Ao acessar o aplicativo , abaixo do campo senha clique em esqueci a senha >  confirmar os dados > escolher a forma que deseja receber o código > inserir o código  > criar uma nova senha e aí é só fazer o login! :grin:"
"Participante está tentando acessar o app e está dando erro, o que fazer?
Participante vai acessar o aplicaitvo e aparece uma tela de erro. ","Para acessar o app, o participante precisa estar com o endereço eletrônico e o telefone atualizados, pois ele pode deixar de receber o código SMS.<br>
Quando estiver realizando o acesso, verifique os dados cadastrais. Se estiverem corretos e mesmo assim apresentar alguma instabilidade, abra um chamado via PRI com os dados cadastrais do participante (endereço de e-mail e número de celular), junto a uma captura de tela do erro para que possamos ajustar."
"Quais operações o participante pode fazer no aplicativo? 
O que o participante pode fazer usando o aplicativo? 
Quais funcionalidades tem no aplicativo?
Quais funcionalidades tem no app/","Existem diversas funções dentro do aplicativo que o participante pode utilizar para realizar o próprio atendimento. 

Dentre elas:

Realizar a Suspensão do Plano
Pagar as contribuições
Gerar boletos de aporte
Aumentar o valor da contribuição mensal
Mudar de perfil de investimentos
Alterar os beneficiários
Consultar extrato financeiro e informe de rendimentos
Fazer revisão do plano
Comparar o plano
Contratar e reduzir as coberturas de risco
Alterar os dados cadastrais
Mudar a idade para aposentadoria

Muitas outras funcionalidades estão no bolso do cooperado, então pedimos para que estimule o mesmo, isso da mais autonomia para ele e faz com que funções mais operacionais não necessitem passar por você, angariador."
,O que você quer saber sobre Adequação de Perfil?
como migrar o perfil via app  como migrar perfil no aplicativo  como migrar perfil no mobile  realizar migracao de perfil no mobile  realizar migracao de perfil via app,"É possível realizar a mudança de seu perfil de investimento a qualquer momento respeitando o prazo 6 meses da última alteração. Essa alteração é realizada no aplicativo da Quanta, no Menu serviços > Adequar perfil de investimento.  Assim que o participante  clicar na opção irá começar um teste, com uma série de perguntas que ajudarão a escolher o perfil que mais se adequa as metas financeiras. Após realizado o teste, será possível alterar o  perfil de investimento.  A troca está prevista para ocorrer até o 15° dia do mês subsequente à solicitação."
"Como faz para realizar a migração de perfil?
Como o participante troca de perfil? ","Para realizar a sua adequação de perfil, basta seguir os passos:

1. Acesse o aplicativo<br>
2. Entre em menu serviços<br>
3. Clique em adequar perfil de investimento<br>
4. Escolher um novo perfil, inicie a simulação e veja os perfis mais adequados<br>
5. Clique em continuar e depois em ver mais sobre o perfil<br>
6. Procure pelo botão mudar perfil e personalize suas opções <br>
7. Por último, é só clicar em concordar e pronto! Realizado! :grin:"
Lâmina de investimento  alteracao de perfil  alterar perfil  alterar plano  altero perfil  participante pode mudar o perfil de investimentos  perfil  perfil de investimento  perfis  perfis de investimentos  quais sao os perfis de investimento  quais sao os tipos de perfil de investimento  quais sao so perfis do plano  qual e o indice de referencia do plano  qual e perfil e mais adequado para cada participante  qual perfil de investimento devemos indicar ao participante  qual perfil de rentabilidade devemos indicar ao participante  quando o cooperado pode alterar o perfil de investimentos  quero mudar meu perfil,"Os perfis de investimentos são opções dadas aos participantes do Plano para que, ao longo da fase de contribuição, seu saldo seja investido de acordo com os níveis de rentabilidade e risco adequados ao seu objetivo e prazos de investimentos. 

É possível solicitar a migração do perfil de investimento a qualquer momento respeitando o prazo de 6 meses da última alteração .O indicado é que seja utilizado o simulador de perfil disponível no site do Plano para auxiliar na escolha mais apropriada.

A Quanta oferece 5 opções de Perfis de Investimentos que são:"
como e o investimento no perfil renda fixa  perfil fixo  perfil renda fixa  qual cooperado deve optar pelo renda fixa,"O perfil Conservador Renda Fixa é ideal para quem busca estabilidade nos investimentos, priorizando a segurança do saldo acumulado com baixo risco, mesmo que isso signifique aceitar retornos mais modestos. Esse perfil investe predominantemente em títulos públicos e crédito privado, oferecendo uma proteção sólida para o seu patrimônio. Seu índice de referência é o CDI + 1,00% a.a. 

Alocação: Os recursos podem ser direcionados para segmentos de renda fixa, exterior, estruturados e imobiliários, garantindo diversificação com foco em segurança.

Para ajustar seu perfil de investimento, acesse o aplicativo do seu plano e siga para o menu Serviços > Adequar perfil de investimentos. E que tal explorar a ACQUA? Nossa plataforma de educação oferece dezenas de soluções para que você tome as melhores decisões em seus investimentos. 
"
"Perfil quanta
Como é o investimento no perfil quanta?
Como é composto o perfil Quanta?","O perfil Moderado Multiestratégia é indicado para quem está disposto a aceitar um grau moderado de risco em seus investimentos, tolerando alguma volatilidade nos retornos com o objetivo de obter maiores resultados no longo prazo. Esse perfil se caracteriza por uma carteira bem diversificada, com investimentos significativos em multimercados, além de outras estratégias, como renda fixa, ações e aplicações no exterior. O índice de referência para este perfil é CDI + 2,00% a.a.

Alocação: Seus recursos podem ser aplicados em diversos segmentos, incluindo renda fixa, renda variável, investimentos estruturados, imobiliário e exterior, proporcionando uma ampla diversificação.

Para ajustar seu perfil de investimento, acesse o aplicativo do seu plano e vá ao menu Serviços > Adequar perfil de investimentos. E que tal explorar a ACQUA? Nossa plataforma de educação oferece dezenas de conteúdos para que você possa tomar as melhores decisões em seus investimentos."
"Como é composto o renda variável?
COmo é o perfil renda variável? ","O perfil Arrojadoé ideal para quem está disposto a assumir riscos mais elevados em busca de maior rentabilidade, compreendendo que eventuais perdas de curto prazo são temporárias, com o objetivo de alcançar resultados expressivos no longo prazo. Esse perfil conta com uma alocação significativa em ações, além de incluir estratégias em multimercados e investimentos no exterior. O índice de referência para este perfil é (60% CDI + 40% IBOVESPA) + 2,00% a.a.

Alocação: Seus recursos podem ser aplicados em diversos segmentos, como renda fixa, renda variável, investimentos estruturados, imobiliário e exterior, permitindo uma diversificação robusta e estratégica.

Para ajustar seu perfil de investimento, acesse o aplicativo do seu plano e selecione o menu Serviços > Adequar perfil de investimentos. E que tal explorar a ACQUA? Nossa plataforma de educação oferece dezenas de conteúdos para que você possa tomar as melhores decisões em seus investimentos."
"Como é o perfil referenciado DI?
Como é o perfil Convervador refernciado? ","O perfil Conservador Referenciado DI é ideal para quem busca investimentos com baixíssima oscilação e risco de perda. Esse perfil prioriza a preservação do saldo acumulado, mesmo que isso implique em abrir mão de retornos mais elevados. As aplicações são direcionadas para títulos públicos indexados à taxa de juros e crédito bancário de alta qualidade, com o objetivo de acompanhar o desempenho do CDI. O índice de referência deste perfil é justamente o CDI.

Alocação: Os recursos são alocados exclusivamente no segmento de renda fixa, garantindo máxima segurança.

Para ajustar seu perfil de investimento, acesse o aplicativo do seu plano e vá até o menu Serviços > Adequar perfil de investimentos. E que tal explorar a ACQUA? Nossa plataforma de educação oferece dezenas de conteúdos para ajudar você a tomar as melhores decisões em seus investimentos.
"
Como é o perfil moderado? ,"O perfil Moderado Inflação é ideal para participantes que buscam investimentos que preservam o poder de compra, com aplicações indexadas à inflação. Embora valorize a segurança, também busca obter retornos superiores. A maioria dos investimentos é direcionada para títulos públicos atrelados à inflação. O índice de referência para este perfil é o IMA-B 5.
Alocação: Os recursos são alocados principalmente no segmento de renda fixa, proporcionando proteção contra a perda do poder aquisitivo.
Para ajustar seu perfil de investimento, acesse o aplicativo do seu plano e selecione o menu Serviços > Adequar perfil de investimentos. E que tal explorar a ACQUA? Nossa plataforma de educação oferece dezenas de soluções para ajudá-lo a tomar as melhores decisões em seus investimentos."
"Participante desistiu da migração de perfil, como cancelar? 
Participante solicitou migração de perfil e se arrependeu, como cancelar?","As solicitações para adequar o perfil poderão ser canceladas diretamente no app do Plano, em até 48 horas da data em que foi solicitado.

Após esse prazo não será possível cancelar a solicitação, pois implicam em transações financeiras entre perfis que podem gerar prejuízos imediatos aos participantes."
O que é cancelamento de parcelas? ,"Cancelamento de parcelas é um procedimento utilizado quando o participante possui parcelas em aberto e não possui pretensão de regularizar, ou seja, ele abre mão destas parcelas para compor seu saldo projetado.  Ela pode ser utilizada em um débito indevido, em uma suspensão que não foi realizada no mês desejado pelo participante, em um estorno.  Porém, atenção: sempre que houver um estorno de contribuição, é importante que realize o cancelamento, pois mesmo com o valor devolvido, a parcela fica em aberto e é lançada novamente no arquivo do dia quinto dia útil (arquivo de inadimplentes).   "
COmo faz para realizar o cancelamento de parcelas?,"Pelo próprio participante Via App: Menu Serviços > Pagamentos > Contribuições em atraso > Selecionar as cobranças desejadas > Cancelar cobrança.
Pela plataforma : Iniciar Atendimento > Minhas Contribuições > Selecionar a contribuição em atraso > Conversão de parcela
"
Quais parcelas podem ser canceladas?,"Apenas é possível converter contribuições de aposentadoria, o risco não é permitido."
conversao  conversao de parcelas  converter parcela  converter parcela em aberto,Dentro do APP: Menu serviços> Pagamentos> Contribuições em aberto (sem pagamento)> Selecionar> Cancelar Contribuição
,"💡 Informar ao participante que, caso cancele alguma parcel,a ele poderá futuramente gerar um boleto de aporte com o mesmo valor para não fazer diferença na projeção de renda futura."
" É possível ser realizada a portabilidade de apenas parte do valor de outro banco para o Precaver? O participante possui um VGBL ele pode trazer para o Precaver? O participante tem outro plano de previdência, pode trazer para o plano que possui com a Quanta? O participante pode realizar portabilidade parcial? O cooperado quer trazer metade do que tem em outro plano, é possível? O cooperado quer trazer um pouco do recurso de outra entidade, como fazer?  ","Nos planos administrados pela Quanta, não é possível portabilidade parcial. Como são planos fechados com características tributárias de um PGBL, o participante pode portar um plano PGBL de entidade aberta para a Quanta. Planos na modalidade VGBL não podem ser portados. No entanto, existe a possibilidade de resgatar o recurso e trazer através de aporte.

Veja abaixo :point_down::"
"Como realizar Portabilidade? Cooperado quer trazer o recurso de outra previdência, como proceder?  Participante tem recurso em outro banco e gostaria de trazer para o Precaver, como faço? Participante tem um valor em outra entidade e quer transferir para a Quanta, como realizar? Posso trazer o recurso do cooperado de outro plano?  Cooperado possui dois planos de previdência e quer deixar tudo no Precaver, como fazer? Como incluir a portabilidade no SOP?  Participante tem recurso em outra entidade fechada, pode trazer para o Precaver? Participante tem um plano tradicional, posso trazer para o Precaver?",O que você quer saber sobre portabilidade de entrada?
Como é realizado a portabilidade de entrada? ,"Grande parte dos processos de portabilidade são efetivados diretamente via Plataforma; Iniciar atendimento  Abrir atendimento participante Portabilidade de entrada.
No Portal do Instituidor você encontra uma guia de portabilidade e o manual basta acessar o menu negócios portabilidade. "
Como é realizado a portabilidade de entrada? ,"Grande parte dos processos de portabilidade são efetivados diretamente via Plataforma > Iniciar atendimento > Abrir atendimento participante > Portabilidade de entrada.

No Portal do Instituidor você encontra uma guia de portabilidade e o manual, basta acessar o menu negócios > portabilidade. "
"Solicitei uma portabilidade de entrada, onde acompanho?","A portabilidade pode ser acompanhada através da Plataforma em:
:point_right: Iniciar atendimento > Inserir os dados do participante > Portabilidade de entrada > status da solicitação estará em tela;<br>
Identificado alguma divergência na solicitação, a Quanta fará contato via e-mail com o responsável pela portabilidade para regularização."
"Preciso cadastrar uma portabilidade, porém não tem o fundo, o que fazer?","A solicitação de portabilidade, tanto de saída quanto de entrada é realizada  Plataforma, na qual já possui diversos fundos e entidades previamente cadastradas.
Contudo, caso as informações que você deseja cadastrar não estejam disponíveis nas caixas de seleção, é possível registrá-las manualmente. 

Para inserir os dados que não estão previamente disponíveis, digite o nome desejado na caixa de seleção Nome do Plano e clique na opção Adicionar Item. Após isso, será possível preencher demais informações, como o CNPJ e o código SUSEP ou CNPB do fundo."
"Participante quer levar a previdência para outro banco, é possível?  Como o cooperado leva o recurso do Precaver para seu banco?  O participante pode transferir a previdência para outra entidade?  O participante pode levar sua previdência para outro plano? O participante não quer resgatar porém quer retirar seu recurso da previdência para outro banco, como fazer? Participante quer sair do Plano Precaver sem resgatar, como proceder?",O que você quer saber sobre portabilidade de saída?
"Como peço uma portabilidade de saída? 
Participante quer solicitar portabilidade de saída, como fazer?","O processo de Portabilidade de Saída é 100% digital para algumas entidades. Para fazer a solicitação você deve cadastrar na Plataforma, seguindo os passos:
 Plataforma > Iniciar atendimento > Abrir atendimento participante > Portabilidade de saída.

Após o envio, iremos confirmar os dados com a entidade receptora e enviar o Termo de Portabilidade de Saída via Contraktor para o participante (importante manter dado de e-mail atualizado). Após todas as assinaturas, providenciaremos o pagamento dentro do prazo legal."
